CensusYear,County,Sex,Age Group,VALUE
2025,Kerry,Female,85 years and over,838.0
2011,Kildare,All,65 years and over,3636.0
2011,Kildare,All,70 years and over,2593.0
2011,Kildare,All,75 years and over,1737.0
2011,Kildare,All,80 years and over,1019.0
2011,Kildare,All,85 years and over,454.0
2011,Kildare,Male,65 years and over,1294.0
2011,Kildare,Male,70 years and over,840.0
2011,Kildare,Male,75 years and over,516.0
2011,Kildare,Male,80 years and over,274.0
2011,Kildare,Male,85 years and over,112.0
2011,Kildare,Female,65 years and over,2342.0
2011,Kildare,Female,70 years and over,1753.0
2011,Kildare,Female,75 years and over,1221.0
2011,Kildare,Female,80 years and over,745.0
2011,Kildare,Female,85 years and over,342.0
2016,Kildare,All,65 years and over,4561.0
2016,Kildare,All,70 years and over,3191.0
2016,Kildare,All,75 years and over,2081.0
2016,Kildare,All,80 years and over,1188.0
2016,Kildare,All,85 years and over,512.0
2016,Kildare,Male,65 years and over,1733.0
2016,Kildare,Male,70 years and over,1129.0
2016,Kildare,Male,75 years and over,684.0
2016,Kildare,Male,80 years and over,375.0
2016,Kildare,Male,85 years and over,156.0
2016,Kildare,Female,65 years and over,2828.0
2016,Kildare,Female,70 years and over,2062.0
2016,Kildare,Female,75 years and over,1397.0
2016,Kildare,Female,80 years and over,813.0
2016,Kildare,Female,85 years and over,356.0
2022,Kildare,All,65 years and over,6049.0
2022,Kildare,All,70 years and over,4534.0
2022,Kildare,All,75 years and over,3044.0
2022,Kildare,All,80 years and over,1708.0
2022,Kildare,All,85 years and over,776.0
2022,Kildare,Male,65 years and over,2324.0
2022,Kildare,Male,70 years and over,1664.0
2022,Kildare,Male,75 years and over,1049.0
2022,Kildare,Male,80 years and over,543.0
2022,Kildare,Male,85 years and over,226.0
2022,Kildare,Female,65 years and over,3725.0
2022,Kildare,Female,70 years and over,2870.0
2022,Kildare,Female,75 years and over,1995.0
2022,Kildare,Female,80 years and over,1165.0
2022,Kildare,Female,85 years and over,550.0
2025,Kildare,All,65 years and over,6966.0
2025,Kildare,All,70 years and over,5405.0
2025,Kildare,All,75 years and over,3682.0
2025,Kildare,All,80 years and over,2048.0
2025,Kildare,All,85 years and over,955.0
2025,Kildare,Male,65 years and over,2691.0
2025,Kildare,Male,70 years and over,2020.0
2025,Kildare,Male,75 years and over,1299.0
2025,Kildare,Male,80 years and over,653.0
2025,Kildare,Male,85 years and over,272.0
2025,Kildare,Female,65 years and over,4275.0
2025,Kildare,Female,70 years and over,3386.0
2025,Kildare,Female,75 years and over,2384.0
2025,Kildare,Female,80 years and over,1395.0
2025,Kildare,Female,85 years and over,684.0
2011,Kilkenny,All,65 years and over,2745.0
2011,Kilkenny,All,70 years and over,2081.0
2011,Kilkenny,All,75 years and over,1470.0
2011,Kilkenny,All,80 years and over,873.0
2011,Kilkenny,All,85 years and over,388.0
2011,Kilkenny,Male,65 years and over,1038.0
2011,Kilkenny,Male,70 years and over,735.0
2011,Kilkenny,Male,75 years and over,486.0
2011,Kilkenny,Male,80 years and over,276.0
2011,Kilkenny,Male,85 years and over,116.0
2011,Kilkenny,Female,65 years and over,1707.0
2011,Kilkenny,Female,70 years and over,1346.0
2011,Kilkenny,Female,75 years and over,984.0
2011,Kilkenny,Female,80 years and over,597.0
2011,Kilkenny,Female,85 years and over,272.0
2016,Kilkenny,All,65 years and over,3203.0
2016,Kilkenny,All,70 years and over,2422.0
2016,Kilkenny,All,75 years and over,1673.0
2016,Kilkenny,All,80 years and over,1013.0
2016,Kilkenny,All,85 years and over,463.0
2016,Kilkenny,Male,65 years and over,1274.0
2016,Kilkenny,Male,70 years and over,867.0
2016,Kilkenny,Male,75 years and over,554.0
2016,Kilkenny,Male,80 years and over,315.0
2016,Kilkenny,Male,85 years and over,130.0
2016,Kilkenny,Female,65 years and over,1929.0
2016,Kilkenny,Female,70 years and over,1555.0
2016,Kilkenny,Female,75 years and over,1119.0
2016,Kilkenny,Female,80 years and over,698.0
2016,Kilkenny,Female,85 years and over,333.0
2022,Kilkenny,All,65 years and over,3815.0
2022,Kilkenny,All,70 years and over,2937.0
2022,Kilkenny,All,75 years and over,2016.0
2022,Kilkenny,All,80 years and over,1200.0
2022,Kilkenny,All,85 years and over,574.0
2022,Kilkenny,Male,65 years and over,1575.0
2022,Kilkenny,Male,70 years and over,1138.0
2022,Kilkenny,Male,75 years and over,689.0
2022,Kilkenny,Male,80 years and over,391.0
2022,Kilkenny,Male,85 years and over,170.0
2022,Kilkenny,Female,65 years and over,2240.0
2022,Kilkenny,Female,70 years and over,1799.0
2022,Kilkenny,Female,75 years and over,1327.0
2022,Kilkenny,Female,80 years and over,809.0
2022,Kilkenny,Female,85 years and over,404.0
2025,Kilkenny,All,65 years and over,4164.0
2025,Kilkenny,All,70 years and over,3234.0
2025,Kilkenny,All,75 years and over,2213.0
2025,Kilkenny,All,80 years and over,1306.0
2025,Kilkenny,All,85 years and over,639.0
2025,Kilkenny,Male,65 years and over,1751.0
2025,Kilkenny,Male,70 years and over,1304.0
2025,Kilkenny,Male,75 years and over,768.0
2025,Kilkenny,Male,80 years and over,436.0
2025,Kilkenny,Male,85 years and over,194.0
2025,Kilkenny,Female,65 years and over,2414.0
2025,Kilkenny,Female,70 years and over,1935.0
2025,Kilkenny,Female,75 years and over,1445.0
2025,Kilkenny,Female,80 years and over,871.0
2025,Kilkenny,Female,85 years and over,445.0
2011,Laois,All,65 years and over,2044.0
2011,Laois,All,70 years and over,1571.0
2011,Laois,All,75 years and over,1101.0
2011,Laois,All,80 years and over,647.0
2011,Laois,All,85 years and over,259.0
2011,Laois,Male,65 years and over,769.0
2011,Laois,Male,70 years and over,549.0
2011,Laois,Male,75 years and over,352.0
2011,Laois,Male,80 years and over,184.0
2011,Laois,Male,85 years and over,60.0
2011,Laois,Female,65 years and over,1275.0
2011,Laois,Female,70 years and over,1022.0
2011,Laois,Female,75 years and over,749.0
2011,Laois,Female,80 years and over,463.0
2011,Laois,Female,85 years and over,199.0
2016,Laois,All,65 years and over,2373.0
2016,Laois,All,70 years and over,1783.0
2016,Laois,All,75 years and over,1231.0
2016,Laois,All,80 years and over,754.0
2016,Laois,All,85 years and over,348.0
2016,Laois,Male,65 years and over,989.0
2016,Laois,Male,70 years and over,690.0
2016,Laois,Male,75 years and over,450.0
2016,Laois,Male,80 years and over,260.0
2016,Laois,Male,85 years and over,117.0
2016,Laois,Female,65 years and over,1384.0
2016,Laois,Female,70 years and over,1093.0
2016,Laois,Female,75 years and over,781.0
2016,Laois,Female,80 years and over,494.0
2016,Laois,Female,85 years and over,231.0
2022,Laois,All,65 years and over,2835.0
2022,Laois,All,70 years and over,2110.0
2022,Laois,All,75 years and over,1461.0
2022,Laois,All,80 years and over,854.0
2022,Laois,All,85 years and over,419.0
2022,Laois,Male,65 years and over,1180.0
2022,Laois,Male,70 years and over,833.0
2022,Laois,Male,75 years and over,514.0
2022,Laois,Male,80 years and over,292.0
2022,Laois,Male,85 years and over,117.0
2022,Laois,Female,65 years and over,1655.0
2022,Laois,Female,70 years and over,1277.0
2022,Laois,Female,75 years and over,947.0
2022,Laois,Female,80 years and over,562.0
2022,Laois,Female,85 years and over,302.0
2025,Laois,All,65 years and over,3099.0
2025,Laois,All,70 years and over,2295.0
2025,Laois,All,75 years and over,1592.0
2025,Laois,All,80 years and over,909.0
2025,Laois,All,85 years and over,460.0
2025,Laois,Male,65 years and over,1289.0
2025,Laois,Male,70 years and over,915.0
2025,Laois,Male,75 years and over,549.0
2025,Laois,Male,80 years and over,309.0
2025,Laois,Male,85 years and over,117.0
2025,Laois,Female,65 years and over,1810.0
2025,Laois,Female,70 years and over,1380.0
2025,Laois,Female,75 years and over,1043.0
2025,Laois,Female,80 years and over,599.0
2025,Laois,Female,85 years and over,345.0
2011,Leitrim,All,65 years and over,1475.0
2011,Leitrim,All,70 years and over,1127.0
2011,Leitrim,All,75 years and over,818.0
2011,Leitrim,All,80 years and over,473.0
2011,Leitrim,All,85 years and over,215.0
2011,Leitrim,Male,65 years and over,690.0
2011,Leitrim,Male,70 years and over,484.0
2011,Leitrim,Male,75 years and over,317.0
2011,Leitrim,Male,80 years and over,165.0
2011,Leitrim,Male,85 years and over,60.0
2011,Leitrim,Female,65 years and over,785.0
2011,Leitrim,Female,70 years and over,643.0
2011,Leitrim,Female,75 years and over,501.0
2011,Leitrim,Female,80 years and over,308.0
2011,Leitrim,Female,85 years and over,155.0
2016,Leitrim,All,65 years and over,1645.0
2016,Leitrim,All,70 years and over,1234.0
2016,Leitrim,All,75 years and over,857.0
2016,Leitrim,All,80 years and over,539.0
2016,Leitrim,All,85 years and over,270.0
2016,Leitrim,Male,65 years and over,735.0
2016,Leitrim,Male,70 years and over,516.0
2016,Leitrim,Male,75 years and over,327.0
2016,Leitrim,Male,80 years and over,186.0
2016,Leitrim,Male,85 years and over,81.0
2016,Leitrim,Female,65 years and over,910.0
2016,Leitrim,Female,70 years and over,718.0
2016,Leitrim,Female,75 years and over,530.0
2016,Leitrim,Female,80 years and over,353.0
2016,Leitrim,Female,85 years and over,189.0
2022,Leitrim,All,65 years and over,2015.0
2022,Leitrim,All,70 years and over,1493.0
2022,Leitrim,All,75 years and over,1016.0
2022,Leitrim,All,80 years and over,606.0
2022,Leitrim,All,85 years and over,295.0
2022,Leitrim,Male,65 years and over,908.0
2022,Leitrim,Male,70 years and over,628.0
2022,Leitrim,Male,75 years and over,395.0
2022,Leitrim,Male,80 years and over,214.0
2022,Leitrim,Male,85 years and over,96.0
2022,Leitrim,Female,65 years and over,1107.0
2022,Leitrim,Female,70 years and over,865.0
2022,Leitrim,Female,75 years and over,621.0
2022,Leitrim,Female,80 years and over,392.0
2022,Leitrim,Female,85 years and over,199.0
2025,Leitrim,All,65 years and over,2230.0
2025,Leitrim,All,70 years and over,1642.0
2025,Leitrim,All,75 years and over,1106.0
2025,Leitrim,All,80 years and over,643.0
2025,Leitrim,All,85 years and over,308.0
2025,Leitrim,Male,65 years and over,1009.0
2025,Leitrim,Male,70 years and over,693.0
2025,Leitrim,Male,75 years and over,434.0
2025,Leitrim,Male,80 years and over,230.0
2025,Leitrim,Male,85 years and over,105.0
2025,Leitrim,Female,65 years and over,1221.0
2025,Leitrim,Female,70 years and over,949.0
2025,Leitrim,Female,75 years and over,672.0
2025,Leitrim,Female,80 years and over,413.0
2025,Leitrim,Female,85 years and over,204.0
2022,Limerick City &,All,65 years and over,8311.0
2022,Limerick City &,All,70 years and over,6416.0
2022,Limerick City &,All,75 years and over,4500.0
2022,Limerick City &,All,80 years and over,2659.0
2022,Limerick City &,All,85 years and over,1321.0
2022,Limerick City &,Male,65 years and over,3301.0
2022,Limerick City &,Male,70 years and over,2390.0
2022,Limerick City &,Male,75 years and over,1561.0
2022,Limerick City &,Male,80 years and over,856.0
2022,Limerick City &,Male,85 years and over,417.0
2022,Limerick City &,Female,65 years and over,5010.0
2022,Limerick City &,Female,70 years and over,4026.0
2022,Limerick City &,Female,75 years and over,2939.0
2022,Limerick City &,Female,80 years and over,1803.0
2022,Limerick City &,Female,85 years and over,904.0
2011,Limerick City and County,All,65 years and over,5974.0
2011,Limerick City and County,All,70 years and over,4508.0
2011,Limerick City and County,All,75 years and over,3098.0
2011,Limerick City and County,All,80 years and over,1834.0
2011,Limerick City and County,All,85 years and over,817.0
2011,Limerick City and County,Male,65 years and over,2141.0
2011,Limerick City and County,Male,70 years and over,1494.0
2011,Limerick City and County,Male,75 years and over,910.0
2011,Limerick City and County,Male,80 years and over,500.0
2011,Limerick City and County,Male,85 years and over,215.0
2011,Limerick City and County,Female,65 years and over,3833.0
2011,Limerick City and County,Female,70 years and over,3014.0
2011,Limerick City and County,Female,75 years and over,2188.0
2011,Limerick City and County,Female,80 years and over,1334.0
2011,Limerick City and County,Female,85 years and over,602.0
2016,Limerick City and County,All,65 years and over,6892.0
2016,Limerick City and County,All,70 years and over,5109.0
2016,Limerick City and County,All,75 years and over,3452.0
2016,Limerick City and County,All,80 years and over,2040.0
2016,Limerick City and County,All,85 years and over,898.0
2016,Limerick City and County,Male,65 years and over,2635.0
2016,Limerick City and County,Male,70 years and over,1799.0
2016,Limerick City and County,Male,75 years and over,1119.0
2016,Limerick City and County,Male,80 years and over,601.0
2016,Limerick City and County,Male,85 years and over,230.0
2016,Limerick City and County,Female,65 years and over,4257.0
2016,Limerick City and County,Female,70 years and over,3310.0
2016,Limerick City and County,Female,75 years and over,2333.0
2016,Limerick City and County,Female,80 years and over,1439.0
2016,Limerick City and County,Female,85 years and over,668.0
2011,Longford,All,65 years and over,1407.0
2011,Longford,All,70 years and over,1045.0
2011,Longford,All,75 years and over,738.0
2011,Longford,All,80 years and over,418.0
2011,Longford,All,85 years and over,183.0
2011,Longford,Male,65 years and over,605.0
2011,Longford,Male,70 years and over,435.0
2011,Longford,Male,75 years and over,284.0
2011,Longford,Male,80 years and over,143.0
2011,Longford,Male,85 years and over,58.0
2011,Longford,Female,65 years and over,802.0
2011,Longford,Female,70 years and over,610.0
2011,Longford,Female,75 years and over,454.0
2011,Longford,Female,80 years and over,275.0
2011,Longford,Female,85 years and over,125.0
2016,Longford,All,65 years and over,1627.0
2016,Longford,All,70 years and over,1218.0
2016,Longford,All,75 years and over,810.0
2016,Longford,All,80 years and over,499.0
2016,Longford,All,85 years and over,225.0
2016,Longford,Male,65 years and over,701.0
2016,Longford,Male,70 years and over,468.0
2016,Longford,Male,75 years and over,291.0
2016,Longford,Male,80 years and over,171.0
2016,Longford,Male,85 years and over,68.0
2016,Longford,Female,65 years and over,926.0
2016,Longford,Female,70 years and over,750.0
2016,Longford,Female,75 years and over,519.0
2016,Longford,Female,80 years and over,328.0
2016,Longford,Female,85 years and over,157.0
2022,Longford,All,65 years and over,1966.0
2022,Longford,All,70 years and over,1481.0
2022,Longford,All,75 years and over,996.0
2022,Longford,All,80 years and over,554.0
2022,Longford,All,85 years and over,277.0
2022,Longford,Male,65 years and over,873.0
2022,Longford,Male,70 years and over,636.0
2022,Longford,Male,75 years and over,398.0
2022,Longford,Male,80 years and over,199.0
2022,Longford,Male,85 years and over,95.0
2022,Longford,Female,65 years and over,1093.0
2022,Longford,Female,70 years and over,845.0
2022,Longford,Female,75 years and over,598.0
2022,Longford,Female,80 years and over,355.0
2022,Longford,Female,85 years and over,182.0
2025,Longford,All,65 years and over,2161.0
2025,Longford,All,70 years and over,1633.0
2025,Longford,All,75 years and over,1104.0
2025,Longford,All,80 years and over,584.0
2025,Longford,All,85 years and over,307.0
2025,Longford,Male,65 years and over,974.0
2025,Longford,Male,70 years and over,741.0
2025,Longford,Male,75 years and over,465.0
2025,Longford,Male,80 years and over,215.0
2025,Longford,Male,85 years and over,112.0
2025,Longford,Female,65 years and over,1187.0
2025,Longford,Female,70 years and over,897.0
2025,Longford,Female,75 years and over,642.0
2025,Longford,Female,80 years and over,369.0
2025,Longford,Female,85 years and over,196.0
2011,Louth,All,65 years and over,3488.0
2011,Louth,All,70 years and over,2631.0
2011,Louth,All,75 years and over,1849.0
2011,Louth,All,80 years and over,1132.0
2011,Louth,All,85 years and over,540.0
2011,Louth,Male,65 years and over,1182.0
2011,Louth,Male,70 years and over,786.0
2011,Louth,Male,75 years and over,501.0
2011,Louth,Male,80 years and over,274.0
2011,Louth,Male,85 years and over,125.0
2011,Louth,Female,65 years and over,2306.0
2011,Louth,Female,70 years and over,1845.0
2011,Louth,Female,75 years and over,1348.0
2011,Louth,Female,80 years and over,858.0
2011,Louth,Female,85 years and over,415.0
2016,Louth,All,65 years and over,3995.0
2016,Louth,All,70 years and over,2954.0
2016,Louth,All,75 years and over,2026.0
2016,Louth,All,80 years and over,1233.0
2016,Louth,All,85 years and over,571.0
2016,Louth,Male,65 years and over,1461.0
2016,Louth,Male,70 years and over,981.0
2016,Louth,Male,75 years and over,607.0
2016,Louth,Male,80 years and over,342.0
2016,Louth,Male,85 years and over,142.0
2016,Louth,Female,65 years and over,2534.0
2016,Louth,Female,70 years and over,1973.0
2016,Louth,Female,75 years and over,1419.0
2016,Louth,Female,80 years and over,891.0
2016,Louth,Female,85 years and over,429.0
2022,Louth,All,65 years and over,4844.0
2022,Louth,All,70 years and over,3723.0
2022,Louth,All,75 years and over,2588.0
2022,Louth,All,80 years and over,1535.0
2022,Louth,All,85 years and over,738.0
2022,Louth,Male,65 years and over,1820.0
2022,Louth,Male,70 years and over,1304.0
2022,Louth,Male,75 years and over,824.0
2022,Louth,Male,80 years and over,464.0
2022,Louth,Male,85 years and over,208.0
2022,Louth,Female,65 years and over,3024.0
2022,Louth,Female,70 years and over,2419.0
2022,Louth,Female,75 years and over,1764.0
2022,Louth,Female,80 years and over,1071.0
2022,Louth,Female,85 years and over,530.0
2025,Louth,All,65 years and over,5334.0
2025,Louth,All,70 years and over,4180.0
2025,Louth,All,75 years and over,2925.0
2025,Louth,All,80 years and over,1713.0
2025,Louth,All,85 years and over,839.0
2025,Louth,Male,65 years and over,2031.0
2025,Louth,Male,70 years and over,1503.0
2025,Louth,Male,75 years and over,960.0
2025,Louth,Male,80 years and over,540.0
2025,Louth,Male,85 years and over,252.0
2025,Louth,Female,65 years and over,3303.0
2025,Louth,Female,70 years and over,2678.0
2025,Louth,Female,75 years and over,1967.0
2025,Louth,Female,80 years and over,1174.0
2025,Louth,Female,85 years and over,589.0
2011,Mayo,All,65 years and over,5349.0
2011,Mayo,All,70 years and over,4096.0
2011,Mayo,All,75 years and over,2880.0
2011,Mayo,All,80 years and over,1729.0
2011,Mayo,All,85 years and over,811.0
2011,Mayo,Male,65 years and over,2244.0
2011,Mayo,Male,70 years and over,1558.0
2011,Mayo,Male,75 years and over,987.0
2011,Mayo,Male,80 years and over,537.0
2011,Mayo,Male,85 years and over,231.0
2011,Mayo,Female,65 years and over,3105.0
2011,Mayo,Female,70 years and over,2538.0
2011,Mayo,Female,75 years and over,1893.0
2011,Mayo,Female,80 years and over,1192.0
2011,Mayo,Female,85 years and over,580.0
2016,Mayo,All,65 years and over,5967.0
2016,Mayo,All,70 years and over,4460.0
2016,Mayo,All,75 years and over,3144.0
2016,Mayo,All,80 years and over,1940.0
2016,Mayo,All,85 years and over,898.0
2016,Mayo,Male,65 years and over,2606.0
2016,Mayo,Male,70 years and over,1775.0
2016,Mayo,Male,75 years and over,1124.0
2016,Mayo,Male,80 years and over,625.0
2016,Mayo,Male,85 years and over,269.0
2016,Mayo,Female,65 years and over,3361.0
2016,Mayo,Female,70 years and over,2685.0
2016,Mayo,Female,75 years and over,2020.0
2016,Mayo,Female,80 years and over,1315.0
2016,Mayo,Female,85 years and over,629.0
2022,Mayo,All,65 years and over,7173.0
2022,Mayo,All,70 years and over,5442.0
2022,Mayo,All,75 years and over,3714.0
2022,Mayo,All,80 years and over,2259.0
2022,Mayo,All,85 years and over,1109.0
2022,Mayo,Male,65 years and over,3141.0
2022,Mayo,Male,70 years and over,2250.0
2022,Mayo,Male,75 years and over,1407.0
2022,Mayo,Male,80 years and over,748.0
2022,Mayo,Male,85 years and over,323.0
2022,Mayo,Female,65 years and over,4032.0
2022,Mayo,Female,70 years and over,3192.0
2022,Mayo,Female,75 years and over,2307.0
2022,Mayo,Female,80 years and over,1511.0
2022,Mayo,Female,85 years and over,786.0
2025,Mayo,All,65 years and over,7865.0
2025,Mayo,All,70 years and over,6011.0
2025,Mayo,All,75 years and over,4037.0
2025,Mayo,All,80 years and over,2438.0
2025,Mayo,All,85 years and over,1232.0
2025,Mayo,Male,65 years and over,3448.0
2025,Mayo,Male,70 years and over,2533.0
2025,Mayo,Male,75 years and over,1574.0
2025,Mayo,Male,80 years and over,818.0
2025,Mayo,Male,85 years and over,354.0
2025,Mayo,Female,65 years and over,4416.0
2025,Mayo,Female,70 years and over,3480.0
2025,Mayo,Female,75 years and over,2465.0
2025,Mayo,Female,80 years and over,1620.0
2025,Mayo,Female,85 years and over,879.0
2011,Meath,All,65 years and over,3676.0
2011,Meath,All,70 years and over,2735.0
2011,Meath,All,75 years and over,1913.0
2011,Meath,All,80 years and over,1106.0
2011,Meath,All,85 years and over,479.0
2011,Meath,Male,65 years and over,1270.0
2011,Meath,Male,70 years and over,871.0
2011,Meath,Male,75 years and over,550.0
2011,Meath,Male,80 years and over,290.0
2011,Meath,Male,85 years and over,124.0
2011,Meath,Female,65 years and over,2406.0
2011,Meath,Female,70 years and over,1864.0
2011,Meath,Female,75 years and over,1363.0
2011,Meath,Female,80 years and over,816.0
2011,Meath,Female,85 years and over,355.0
2016,Meath,All,65 years and over,4411.0
2016,Meath,All,70 years and over,3244.0
2016,Meath,All,75 years and over,2168.0
2016,Meath,All,80 years and over,1315.0
2016,Meath,All,85 years and over,598.0
2016,Meath,Male,65 years and over,1649.0
2016,Meath,Male,70 years and over,1116.0
2016,Meath,Male,75 years and over,688.0
2016,Meath,Male,80 years and over,382.0
2016,Meath,Male,85 years and over,151.0
2016,Meath,Female,65 years and over,2762.0
2016,Meath,Female,70 years and over,2128.0
2016,Meath,Female,75 years and over,1480.0
2016,Meath,Female,80 years and over,933.0
2016,Meath,Female,85 years and over,447.0
2022,Meath,All,65 years and over,5651.0
2022,Meath,All,70 years and over,4321.0
2022,Meath,All,75 years and over,2918.0
2022,Meath,All,80 years and over,1702.0
2022,Meath,All,85 years and over,821.0
2022,Meath,Male,65 years and over,2159.0
2022,Meath,Male,70 years and over,1570.0
2022,Meath,Male,75 years and over,975.0
2022,Meath,Male,80 years and over,549.0
2022,Meath,Male,85 years and over,260.0
2022,Meath,Female,65 years and over,3492.0
2022,Meath,Female,70 years and over,2751.0
2022,Meath,Female,75 years and over,1943.0
2022,Meath,Female,80 years and over,1153.0
2022,Meath,Female,85 years and over,561.0
2025,Meath,All,65 years and over,6396.0
2025,Meath,All,70 years and over,4987.0
2025,Meath,All,75 years and over,3385.0
2025,Meath,All,80 years and over,1936.0
2025,Meath,All,85 years and over,962.0
2025,Meath,Male,65 years and over,2470.0
2025,Meath,Male,70 years and over,1862.0
2025,Meath,Male,75 years and over,1161.0
2025,Meath,Male,80 years and over,658.0
2025,Meath,Male,85 years and over,341.0
2025,Meath,Female,65 years and over,3926.0
2025,Meath,Female,70 years and over,3128.0
2025,Meath,Female,75 years and over,2226.0
2025,Meath,Female,80 years and over,1282.0
2025,Meath,Female,85 years and over,628.0
2011,Monaghan,All,65 years and over,2027.0
2011,Monaghan,All,70 years and over,1602.0
2011,Monaghan,All,75 years and over,1167.0
2011,Monaghan,All,80 years and over,697.0
2011,Monaghan,All,85 years and over,343.0
2011,Monaghan,Male,65 years and over,777.0
2011,Monaghan,Male,70 years and over,560.0
2011,Monaghan,Male,75 years and over,376.0
2011,Monaghan,Male,80 years and over,189.0
2011,Monaghan,Male,85 years and over,88.0
2011,Monaghan,Female,65 years and over,1250.0
2011,Monaghan,Female,70 years and over,1042.0
2011,Monaghan,Female,75 years and over,791.0
2011,Monaghan,Female,80 years and over,508.0
2011,Monaghan,Female,85 years and over,255.0
2016,Monaghan,All,65 years and over,2234.0
2016,Monaghan,All,70 years and over,1681.0
2016,Monaghan,All,75 years and over,1225.0
2016,Monaghan,All,80 years and over,767.0
2016,Monaghan,All,85 years and over,356.0
2016,Monaghan,Male,65 years and over,927.0
2016,Monaghan,Male,70 years and over,627.0
2016,Monaghan,Male,75 years and over,425.0
2016,Monaghan,Male,80 years and over,254.0
2016,Monaghan,Male,85 years and over,89.0
2016,Monaghan,Female,65 years and over,1307.0
2016,Monaghan,Female,70 years and over,1054.0
2016,Monaghan,Female,75 years and over,800.0
2016,Monaghan,Female,80 years and over,513.0
2016,Monaghan,Female,85 years and over,267.0
2022,Monaghan,All,65 years and over,2692.0
2022,Monaghan,All,70 years and over,2085.0
2022,Monaghan,All,75 years and over,1403.0
2022,Monaghan,All,80 years and over,864.0
2022,Monaghan,All,85 years and over,431.0
2022,Monaghan,Male,65 years and over,1175.0
2022,Monaghan,Male,70 years and over,848.0
2022,Monaghan,Male,75 years and over,525.0
2022,Monaghan,Male,80 years and over,300.0
2022,Monaghan,Male,85 years and over,150.0
2022,Monaghan,Female,65 years and over,1517.0
2022,Monaghan,Female,70 years and over,1237.0
2022,Monaghan,Female,75 years and over,878.0
2022,Monaghan,Female,80 years and over,564.0
2022,Monaghan,Female,85 years and over,281.0
2025,Monaghan,All,65 years and over,2955.0
2025,Monaghan,All,70 years and over,2322.0
2025,Monaghan,All,75 years and over,1501.0
2025,Monaghan,All,80 years and over,917.0
2025,Monaghan,All,85 years and over,474.0
2025,Monaghan,Male,65 years and over,1323.0
2025,Monaghan,Male,70 years and over,986.0
2025,Monaghan,Male,75 years and over,584.0
2025,Monaghan,Male,80 years and over,326.0
2025,Monaghan,Male,85 years and over,195.0
2025,Monaghan,Female,65 years and over,1634.0
2025,Monaghan,Female,70 years and over,1340.0
2025,Monaghan,Female,75 years and over,920.0
2025,Monaghan,Female,80 years and over,591.0
2025,Monaghan,Female,85 years and over,288.0
2011,Offaly,All,65 years and over,2108.0
2011,Offaly,All,70 years and over,1607.0
2011,Offaly,All,75 years and over,1153.0
2011,Offaly,All,80 years and over,658.0
2011,Offaly,All,85 years and over,275.0
2011,Offaly,Male,65 years and over,792.0
2011,Offaly,Male,70 years and over,560.0
2011,Offaly,Male,75 years and over,387.0
2011,Offaly,Male,80 years and over,210.0
2011,Offaly,Male,85 years and over,89.0
2011,Offaly,Female,65 years and over,1316.0
2011,Offaly,Female,70 years and over,1047.0
2011,Offaly,Female,75 years and over,766.0
2011,Offaly,Female,80 years and over,448.0
2011,Offaly,Female,85 years and over,186.0
2016,Offaly,All,65 years and over,2437.0
2016,Offaly,All,70 years and over,1828.0
2016,Offaly,All,75 years and over,1285.0
2016,Offaly,All,80 years and over,777.0
2016,Offaly,All,85 years and over,347.0
2016,Offaly,Male,65 years and over,926.0
2016,Offaly,Male,70 years and over,640.0
2016,Offaly,Male,75 years and over,415.0
2016,Offaly,Male,80 years and over,243.0
2016,Offaly,Male,85 years and over,107.0
2016,Offaly,Female,65 years and over,1511.0
2016,Offaly,Female,70 years and over,1188.0
2016,Offaly,Female,75 years and over,870.0
2016,Offaly,Female,80 years and over,534.0
2016,Offaly,Female,85 years and over,240.0
2022,Offaly,All,65 years and over,2965.0
2022,Offaly,All,70 years and over,2248.0
2022,Offaly,All,75 years and over,1563.0
2022,Offaly,All,80 years and over,933.0
2022,Offaly,All,85 years and over,466.0
2022,Offaly,Male,65 years and over,1202.0
2022,Offaly,Male,70 years and over,863.0
2022,Offaly,Male,75 years and over,532.0
2022,Offaly,Male,80 years and over,283.0
2022,Offaly,Male,85 years and over,138.0
2022,Offaly,Female,65 years and over,1763.0
2022,Offaly,Female,70 years and over,1385.0
2022,Offaly,Female,75 years and over,1031.0
2022,Offaly,Female,80 years and over,650.0
2022,Offaly,Female,85 years and over,328.0
2025,Offaly,All,65 years and over,3270.0
2025,Offaly,All,70 years and over,2493.0
2025,Offaly,All,75 years and over,1724.0
2025,Offaly,All,80 years and over,1022.0
2025,Offaly,All,85 years and over,540.0
2025,Offaly,Male,65 years and over,1369.0
2025,Offaly,Male,70 years and over,1002.0
2025,Offaly,Male,75 years and over,602.0
2025,Offaly,Male,80 years and over,305.0
2025,Offaly,Male,85 years and over,157.0
2025,Offaly,Female,65 years and over,1904.0
2025,Offaly,Female,70 years and over,1495.0
2025,Offaly,Female,75 years and over,1122.0
2025,Offaly,Female,80 years and over,717.0
2025,Offaly,Female,85 years and over,383.0
2011,Roscommon,All,65 years and over,2661.0
2011,Roscommon,All,70 years and over,2068.0
2011,Roscommon,All,75 years and over,1488.0
2011,Roscommon,All,80 years and over,877.0
2011,Roscommon,All,85 years and over,346.0
2011,Roscommon,Male,65 years and over,1149.0
2011,Roscommon,Male,70 years and over,836.0
2011,Roscommon,Male,75 years and over,554.0
